coh,phi,gam,delta,fnum,area,leng,qu,mat,loc
17,18.93,5.384,14.07,96,0.09,70,3050,Steel,
45.8,31.11,11.23,10.14,406,0.78,20.5,2670,Steel,Bandar Abbas-Iran
49.8,31.01,11.2,12.47,670,1.16,22.5,3350,Steel,
45.8,31.11,11.23,10.14,730,0.78,20.5,3750,Steel,
45.8,31.11,11.23,10.14,1236,0.78,20.5,4100,Steel,
45.8,31.11,11.23,10.14,710,0.78,20.5,3450,Steel,
45.2,31.12,11.23,12.63,756,0.78,20.2,3570,Steel,
48.8,31.03,11.21,12.5,1030,1.16,22,3570,Steel,
44.7,31.14,11.24,12.65,1463,1.16,20,4936,Steel,
51.5,30.97,11.2,12.4,1448,1.16,23.5,4900,Steel,
49.8,31.01,11.2,12.47,1298,1.16,22.5,4650,Steel,
41.1,31.23,11.25,12.78,1610,1.16,18.5,2150,Steel,
42.4,31.2,11.24,12.74,1590,1.16,19,4150,Steel,
45.8,31.11,11.23,10.14,701,0.89,20.5,3600,Steel,
44.7,31.14,11.24,12.65,1112,0.89,20,4000,Steel,
49.8,31.01,11.2,12.47,990,1.16,22.5,3870,Steel,
8.21,25.02,9.045,12.295,510,0.89,71.5,"21,965",Concrete,Bandar Imam-Iran
6.58,29.57,9.81,14,65,0.16,23.4,2682.5,Concrete,
6.7,29.39,9.88,14,72,0.16,22.4,2846,Concrete,
6.52,29.64,9.78,14,97,0.16,23.8,3368.5,Concrete,
7.03,35.815,12.915,16.405,423,0.1,19.2,6065,Concrete,
6.49,29.665,9.77,14,70,0.16,24.1,3160,Concrete,
8.59,16.615,8.93,14,113,0.16,19,2215,Concrete,
9.2,4.083,7.565,14,186,0.16,23.7,2490,Concrete,
7.24,36.155,13.055,16.6,321,0.1,18.1,5215,Concrete,
7.8,36.59,13.32,17,116,0.08,15.3,2240.5,Concrete,
7.81,36.585,13.365,17,132,0.11,15,1580,Concrete,
24.6,32.22,9.89,13.75,56,0.13,15.2,1030,Steel,Mahshahr-Iran
33.7,0,11.432,14,306,0.16,20.2,1602.5,Steel,
27.4,11.215,11.24,14.725,505,0.16,25.7,2440,Steel,
21.49,28.53,8.88,13.215,1106,1.38,32.2,4275,Steel,Mahshahr-Iran
23.81,27.58,8.8715,12.61,1323,1.59,36.5,5740,Steel,
25.9,17.8,9.28,15.195,196,0.16,27.5,2575,Steel,
27.4,19.6,8.615,14.29,153,0.16,16.4,1335,Steel,
38,28.2,9.025,14,196,0.16,23.7,1965,Concrete,Isfahan-Iran
28.1,19.88,5.44,13.785,70,0.09,27,2825,Concrete,
31.4,25.02,8.305,12.105,725,0.44,25,2875,Concrete,
45.8,31.11,11.23,10.14,2291,0.78,35.5,3790,Concrete,
54.8,11.835,7.85,14.805,123,0.16,37.8,1795,Concrete,
47.8,31.06,11.215,11.305,1631,0.97,21.5,3565,Steel,Bandar
47,31.075,11.22,12.565,2078,0.97,21.1,3585,Steel,
48.1,31.055,11.217,12.525,2147,1.16,21.7,3870,Steel,
45.4,31.12,10.967,12.625,2243,1.16,20.5,3415,Steel,
44.1,31.155,11.235,11.44,1009,1.02,19.7,5465,Steel,
49.8,31.01,11.2,12.47,849,1.16,22.5,4275,Steel,
31.1,34.42,11.54,15.375,131,0.1,15.7,2648.5,Steel,
29.6,18.31,12.17,15.5,291,0.13,20.4,2595,Steel,
33,29.37,9.775,12.45,14,0.1,21.5,1235,Concrete,Isfahan-Iran
28.5,28.405,9.695,12.38,14,0.1,19.4,1145,Concrete,
31.5,16.5,9.69,11.71,22,0.1,21.4,1295,Concrete,
26.9,18.28,12.582,15.5,131,0.11,15.1,1248,Concrete,
31.3,18.285,12.305,15.5,320,0.13,20.1,1790,Concrete,
