39,39.5,72,6.7,0.0999,3000,2351,Heins and Barends (1984),B,"North Sea, The Netherlands"
39,39.5,56,5.2,0.0999,1950,2251,Heins and Barends (1984),C,"North Sea, The Netherlands"
32,34,198,21,0.2313,3200,3209,Carpentier et al. (1984),PI,"Zeebrugge, Belgium"
37.5,40,301,29.9,0.3075,4733,4733,Gurtowski and Wu (1984),A,West Seattle Freeway
37.5,39.5,258,25.6,0.3075,4021,4733,Gurtowski and Wu (1984),B,West Seattle Freeway
33,35,169,18,0.6568,5000,5604,Mey et al. (1985),Pl(2),"Gadiz, Spain"
28,39,213,16.8,0.1431,4670,4660,Reike and Crowser (1987),IB-C,"Tacoma, Wash."
34,35,111,12.2,0.1143,854,1029,Thorburn and MacVicar (1970),1,"Clyde VaHey-Glasgow, Scotland"
32,35,241,23.3,0.1486,1628,1790,Thorburn and MacVicar (1970),2,"Clyde VaHey-Glasgow, Scotland"
34,35,92,9.1,0.1291,685,990,Thorburn and MacVicar (1970),3,"Clyde VaHey-Glasgow, Scotland"
32,37,176,17.5,0.3855,3069,3069,Milovic and Baci (1976),C,Biograd Yugoslavia
35,37,246,23.8,0.0729,1913,1565,Blendy (1979),SB-1,Missouri
35,37,183,17.7,0.0729,2313,1656,Blendy (1979),SB-3,Missouri
35,37,260,25.3,0.0729,1254,1618,Blendy (1979),53,Connecticut
39,39.5,56,5.2,0.0999,1948,2251,Heins and Barends (\979),C,"North Sea, The Netherlands"
33,35.5,343,34.1,0.0325,1761,1830,Kessler (1979),178,"Cohasset, Minn."
34,36,319,31.7,0.0325,2180,2111,Kessler (1979),4751,"Cohasset, Minn."
33,33,335,29.3,0.0557,3203,3211,Wan et al. (1979),B.O.E-8,"Kaohsiung, China"
33,34,354,31.1,0.0557,3211,3211,Wan et al. (1979),C.O.-2,"Kaohsiung, China"
36,37,215,21.3,0.0409,1779,1583,Goble et al. (1982),03岿 04老,"1-80 Winnemucca, Nev."
36,37,209,20.7,0.0827,1868,1611,Goble et al. (1982),04岿 04老,"1-80 Winnemucca, Nev."
35,35,242,24.1,0.066,1779,1643,Goble et al. (1982),05岿 04老,"1-80 Winnemucca, Nev."
36,37,209,20.7,0.0929,1913,1670,Goble et al. (1982),06岿 04老,"1-80 Winnemucca, Nev."
35,35,166,16.5,0.0613,2100,1803,Goble et al. (1982),03岿 05老,"1-80 Winnemucca, Nev."
35,35,178,17.7,0.0827,1509,1653,Goble et al. (1982),04岿 05老,"1-80 Winnemucca, Nev."
35.5,37,228,21.9,0.066,922,1513,Goble et al. (1982),05岿 05老,"1-80 Winnemucca, Nev."
35,35,178,17.7,0.0929,1779,1621,Goble et al. (1982),06岿 05老,"1-80 Winnemucca, Nev."
